"Identificació";"Imatge";"Nom"
"29";"http://botiga-teixitdelaterra.rhcloud.com/imatges/bag-o-milk.jpg";"L 1 - Llet de vaca 1L"
"30";"http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg";"L 2 - Iogurt 125 natural - pac 4 ut"
"31";"http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg";"L 3 - Iogurt Natural 1/2 Kg"
"32";"http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg";"L 3 - Iogurt natural 1 KG"
"33";"http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg";"L 4 - Iogurt 125 desc - pac 4 ut"
"34";"http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg";"L 5 - Iogurt 125 maduixa - pac 2 ut"
"35";"http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg";"L 6 - Iogurt 125 llimona - pac 2 ut"
"36";"http://botiga-teixitdelaterra.rhcloud.com/imatges/bag-o-milk.jpg";"L 7 - Llet civada ("avena") 1L"
"37";"http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg";"L8 - Iogurt civada natural 100 gr - pac 2 ut"
"38";"http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg";"L9 - Iogurt civada aranyons 100 gr - pac 2 ut"
"39";"http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg";"L 10 - Iogurt civada maduixa 100 gr - pac 2 ut"
"40";"http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg";"L 11 - Iogurt civada pressec 100 gr - pac 2 ut"
"41";"http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg";"L 12 - Iogurt civada xocolata 100 gr - pac 2 ut"
"42";"http://botiga-teixitdelaterra.rhcloud.com/imatges/bag-o-milk.jpg";"L 13 - Llet de soja 1L"
"43";"http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg";"L 14 - Iogurt soja natural 100 gr - pac 2 ut"
"44";"http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg";"L 15 - iogurt soja aranyons 100 gr - pac 2 ut"
"45";"http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg";"L 16 - Iogurt soja maduixa 100 gr - pac 2 ut"
"46";"http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg";"L 17 - Iogurt soja pressec 100 gr - pac 2 ut"
"47";"http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg";"L 18 - Iogurt soja vainilla 100 gr - pac 2 ut"
"48";"http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg";"L 19 - Iogurt soja xocolata 100 gr - pac 2 ut"
"49";"http://botiga-teixitdelaterra.rhcloud.com/imatges/bag-o-milk.jpg";"Llet Ametlla 1 L."
"50";"http://botiga-teixitdelaterra.rhcloud.com/imatges/bag-o-milk.jpg";"Llet civada + Xoco 1 L."
"51";"http://botiga-teixitdelaterra.rhcloud.com/imatges/Iogurt-vidre.jpg";"L 20 - Iogurt KEFIR 125 gr - pac 4 ut"
"52";"http://botiga-teixitdelaterra.rhcloud.com/imatges/flam.png";"L 21 - Flam d'ou - pac 2 ut"
"53";"http://botiga-teixitdelaterra.rhcloud.com/imatges/ous.jpg";"OUS ECO - 12 un"
"54";"http://botiga-teixitdelaterra.rhcloud.com/imatges/crema.jpg";"L 23 - Crema catalana"
"55";"http://botiga-teixitdelaterra.rhcloud.com/imatges/crema.jpg";"L 24 - Crema de xocolata"
"56";"http://botiga-teixitdelaterra.rhcloud.com/imatges/flam.png";"L 27 - Flam de muntanya"
"57";"http://botiga-teixitdelaterra.rhcloud.com/imatges/flam.png";"L 28 - Flam de vainilla - pac 2 ut"
"58";"http://botiga-teixitdelaterra.rhcloud.com/imatges/crema.jpg";"L 30 - Mouse d'aranyons"
"59";"http://botiga-teixitdelaterra.rhcloud.com/imatges/crema.jpg";"L 31 - Mouse de llimona"
"60";"http://botiga-teixitdelaterra.rhcloud.com/imatges/mato.jpg";"L 32 - Nata"
