Nom;"Preu amb impostos";Quantitat;Actiu;Categorias;Proveidor;"URL imatge"
Api;0;999999999;1;"La Feixa Verda,Verdura";"La Feixa Verda";http://botiga-teixitdelaterra.rhcloud.com/imatges/api.jpg
Bledes;0;999999999;1;"La Feixa Verda,Verdura";"La Feixa Verda";http://botiga-teixitdelaterra.rhcloud.com/imatges/bledes.jpg
Brocoli;0;999999999;1;"La Feixa Verda,Verdura";"La Feixa Verda";http://botiga-teixitdelaterra.rhcloud.com/imatges/brocoli.jpeg
Bròquil;0;999999999;1;"La Feixa Verda,Verdura";"La Feixa Verda";http://botiga-teixitdelaterra.rhcloud.com/imatges/broquil.jpeg
Carabassa;0;999999999;1;"La Feixa Verda,Verdura";"La Feixa Verda";http://botiga-teixitdelaterra.rhcloud.com/imatges/carabassa.jpg
Carxofa;0;999999999;1;"La Feixa Verda,Verdura";"La Feixa Verda";http://botiga-teixitdelaterra.rhcloud.com/imatges/carxofa.jpg
"Ceba seca";0;999999999;1;"La Feixa Verda,Verdura";"La Feixa Verda";http://botiga-teixitdelaterra.rhcloud.com/imatges/ceba_seca.jpg
"Ceba tendra";0;999999999;1;"La Feixa Verda,Verdura";"La Feixa Verda";http://botiga-teixitdelaterra.rhcloud.com/imatges/ceba_tendra.jpeg
Col;0;999999999;1;"La Feixa Verda,Verdura";"La Feixa Verda";http://botiga-teixitdelaterra.rhcloud.com/imatges/col.jpg
"Col kale";0;999999999;1;"La Feixa Verda,Verdura";"La Feixa Verda";http://botiga-teixitdelaterra.rhcloud.com/imatges/col_kale.jpeg
"Col llombarda";0;999999999;1;"La Feixa Verda,Verdura";"La Feixa Verda";http://botiga-teixitdelaterra.rhcloud.com/imatges/col_llombarda.jpg
Enciam;0;999999999;1;"La Feixa Verda,Verdura";"La Feixa Verda";http://botiga-teixitdelaterra.rhcloud.com/imatges/enciam.jpg
Llimona;0;999999999;1;"La Feixa Verda,Fruita";"La Feixa Verda";http://botiga-teixitdelaterra.rhcloud.com/imatges/llimona.jpg
Mandarina;0;999999999;1;"La Feixa Verda,Fruita";"La Feixa Verda";http://botiga-teixitdelaterra.rhcloud.com/imatges/mandarina.jpg
Nap;0;999999999;1;"La Feixa Verda,Verdura";"La Feixa Verda";http://botiga-teixitdelaterra.rhcloud.com/imatges/nap.jpg
Ous;0;999999999;1;"La Feixa Verda,Verdura";"La Feixa Verda";http://botiga-teixitdelaterra.rhcloud.com/imatges/ous.jpg
Pastanaga;0;999999999;1;"La Feixa Verda,Verdura";"La Feixa Verda";http://botiga-teixitdelaterra.rhcloud.com/imatges/pastanaga.jpeg
Patata;0;999999999;1;"La Feixa Verda,Verdura";"La Feixa Verda";http://botiga-teixitdelaterra.rhcloud.com/imatges/patata.jpg
"Pebrot verd";0;999999999;1;"La Feixa Verda,Verdura";"La Feixa Verda";http://botiga-teixitdelaterra.rhcloud.com/imatges/pebrot_verd.jpg
Porro;0;999999999;1;"La Feixa Verda,Verdura";"La Feixa Verda";http://botiga-teixitdelaterra.rhcloud.com/imatges/porro.jpeg
Rabes;0;999999999;1;"La Feixa Verda,Verdura";"La Feixa Verda";http://botiga-teixitdelaterra.rhcloud.com/imatges/rabes.jpg
Remolatxa;0;999999999;1;"La Feixa Verda,Verdura";"La Feixa Verda";http://botiga-teixitdelaterra.rhcloud.com/imatges/remolatxa.jpg
