Identificació;Nom;Preu final
749;CAL VALLS - vinagre de poma 0,75 L;2.6
714;CAL VALLS - Tomaquet Triturat 670 gr.;1.35
712;CAL VALLS - Tomaquet sencer Pelat 660 gr.;1.73
713;CAL VALLS - Tomaquet Pelat condimentat 660 gr.;1.7
747;CAL VALLS - suc de tomaquet DEM 1 L;1.91
742;CAL VALLS - Suc de Taronja 1L;2.43
746;CAL VALLS - Suc de raim 1L;2.35
741;CAL VALLS - Suc de Poma 1L;2.06
740;CAL VALLS - Suc de pera 1L;2.37
743;CAL VALLS - Suc de Mandarina 1L;2.48
745;CAL VALLS - Suc de llimona 1L;2.7
716;CAL VALLS - Sofregit picant 350 gr.;1.5
715;CAL VALLS - Sofregit de tomaquet 350 gr.;1.5
717;CAL VALLS - Sofregit amb xampinyons 350 gr.;1.73
753;CAL VALLS - Sal 0,5 kg;1.13
718;CAL VALLS - Pebrot piquillo 250 gr.;3.2
739;CAL VALLS - Patates fregides 125 gr.;2.0
707;CAL VALLS - Olives Picual 175 gr.;1.75
711;CAL VALLS - Olives negres mortes 200 gr.;1.85
710;CAL VALLS - Oliva negra 200 gr.;1.62
709;CAL VALLS - Oliva Manzanilla verda 200gr.;1.5
708;CAL VALLS - Oliva Arbequina 400gr.;2.19
732;CAL VALLS - mermelada de pruna 370 gr.;2.45
731;CAL VALLS - mermelada de pressec 370 gr.;2.48
735;CAL VALLS - Mermelada de pera 370 gr.;2.45
734;CAL VALLS - mermelada de maduixa 370 gr.;2.48
730;CAL VALLS - Mermelada de Gers 370 gr.;3.4
733;CAL VALLS - mermelada de cirera 240 gr.;2.08
736;CAL VALLS - Mermelada Albercoc 370 gr.;2.48
752;CAL VALLS - Macarrons Integrals Espelta 0,5 kg;1.91
744;CAL VALLS - llimonada 1L;2.25
729;CAL VALLS - Llenties cuites 450 gr;2.37
728;CAL VALLS - Llenties cuites 240 gr;1.44
724;CAL VALLS - Fesols vermells cuits 240gr;1.33
725;CAL VALLS - Fesols vermalls cuits 450 gr;2.25
727;CAL VALLS - Fesols blancs cuits 450 gr;2.43
726;CAL VALLS - Fesols blancs cuits 220 gr;1.44
750;CAL VALLS - Espirals 0,5 kg;1.13
751;CAL VALLS - Espirall Kamut 0,5 kg;3.0
720;CAL VALLS - Esparreg verd;4.45
719;CAL VALLS - Esparreg blanc;4.97
748;CAL VALLS - Concentrat de poma 400 gr.;2.15
738;CAL VALLS - Compota de poma 400 gr.;1.33
737;CAL VALLS - Compota de pera 350 gr.;1.4
723;CAL VALLS - Cigrons cuits 450gr;2.08
722;CAL VALLS - Cigrons cuits 220gr.;1.16
721;CAL VALLS - Blat de moro (demeter) 220 gr;1.6
